"","fixed.acidity","volatile.acidity","citric.acid","residual.sugar","chlorides","free.sulfur.dioxide","total.sulfur.dioxide","density","pH","sulphates","alcohol","quality"
"3998",6,0.26,0.29,3.1,0.041,37,144,0.98944,3.22,0.39,12.8,7
"458",7.1,0.21,0.27,8.6,0.056,26,111,0.9956,2.95,0.52,9.5,5
"1490",7.9,0.16,0.74,17.85,0.037,52,187,0.9998,2.99,0.41,9.3,5
"2697",6.5,0.22,0.5,16.4,0.048,36,182,0.99904,3.02,0.49,8.8,6
"4498",6.3,0.29,0.3,8.1,0.212,60,150,0.9958,3.1,0.4,9.3,5
"4155",6.2,0.32,0.5,6.5,0.048,61,186,0.9948,3.19,0.45,9.6,5
"1828",7.3,0.19,0.24,6.3,0.054,34,231,0.9964,3.36,0.54,10,6
"1257",7.3,0.18,0.65,1.4,0.046,28,157,0.9946,3.33,0.62,9.4,6
"1322",7.3,0.43,0.37,4.6,0.028,17,114,0.991,3.23,0.43,13.2,6
"4499",6.8,0.2,0.25,6.2,0.052,22,106,0.9935,3.09,0.54,10.8,5
"1565",9.1,0.28,0.49,2,0.059,10,112,0.9958,3.15,0.46,10.1,5
"2096",8.4,0.28,0.4,8.9,0.048,33,146,0.9988,3.4,0.46,9.3,5
"3737",6.5,0.32,0.48,8,0.026,18,88,0.99144,3.22,0.79,12.7,4
"4519",9,0.2,0.33,3.5,0.049,10,40,0.9944,3.14,0.36,9.8,6
"4616",6.1,0.44,0.28,4.25,0.032,43,132,0.9916,3.26,0.47,11.2666666666667,7
"4893",6.5,0.23,0.38,1.3,0.032,29,112,0.99298,3.29,0.54,9.7,5
"3258",7.4,0.19,0.31,14.5,0.045,39,193,0.9986,3.1,0.5,9.2,6
"4857",7.1,0.23,0.39,13.7,0.058,26,172,0.99755,2.9,0.46,9,6
"3301",7.8,0.25,0.37,1,0.043,10,80,0.99128,3.08,0.38,11.4,5
"2059",7.3,0.29,0.37,8.3,0.044,45,227,0.9966,3.12,0.47,9,5
"2057",6.8,0.21,0.27,18.15,0.042,41,146,1.0001,3.3,0.36,8.7,5
"4882",5,0.235,0.27,11.75,0.03,34,118,0.9954,3.07,0.5,9.4,6
"703",6.6,0.38,0.18,1.2,0.042,20,84,0.9927,3.22,0.45,10.1,4
"742",5.8,0.2,0.3,1.5,0.031,21,57,0.99115,3.44,0.55,11,6
"641",5.6,0.235,0.29,1.2,0.047,33,127,0.991,3.34,0.5,11,7
"2557",7.6,0.23,0.64,12.9,0.033,54,170,0.998,3,0.53,8.8,5
"3742",7,0.15,0.28,14.7,0.051,29,149,0.99792,2.96,0.39,9,7
"436",6.9,0.2,0.37,6.2,0.027,24,97,0.992,3.38,0.49,12.2,7
"839",7.3,0.25,0.36,2.1,0.034,30,177,0.99085,3.25,0.4,11.9,8
"2785",7.1,0.2,0.31,7.4,0.053,32,211,0.99587,3.31,0.59,10.4,6
"648",7.4,0.105,0.34,12.2,0.05,57,146,0.9973,3.16,0.37,9,6
"4070",6.2,0.24,0.28,12.2,0.049,54,133,0.9952,3.19,0.37,10.7,6
"1906",7.5,0.29,0.67,8.1,0.037,53,166,0.9966,2.9,0.41,8.9,6
"4336",7.3,0.19,0.27,13.9,0.057,45,155,0.99807,2.94,0.41,8.8,8
"669",6.1,0.14,0.25,1.3,0.047,37,173,0.9925,3.35,0.46,10,6
"3087",5.8,0.31,0.32,4.5,0.024,28,94,0.98906,3.25,0.52,13.7,7
"456",6.4,0.41,0.24,14,0.048,24,113,0.9982,3.44,0.53,9.8,6
"1150",6.7,0.25,0.23,7.2,0.038,61,220,0.9952,3.14,0.35,9.5,5
"324",6.8,0.28,0.44,9.3,0.031,35,137,0.9946,3.16,0.36,10.4,6
"3669",6.5,0.27,0.26,11,0.03,2,82,0.99402,3.07,0.36,11.2,5
"2910",6.2,0.18,0.3,1,0.031,23,73,0.99032,3.23,0.52,11.3,6
"1243",8.1,0.43,0.42,6.6,0.033,36,141,0.9918,2.98,0.39,13.3,7
"3793",6.8,0.25,0.3,11.8,0.043,53,133,0.99524,3.03,0.58,10.4,6
"2192",9.2,0.23,0.35,10.7,0.037,34,145,0.9981,3.09,0.32,9.7,5
"4191",7,0.22,0.3,1.4,0.04,14,63,0.98985,3.2,0.33,12,6
"192",6.8,0.28,0.4,22,0.048,48,167,1.001,2.93,0.5,8.7,5
"304",6,0.29,0.21,1.3,0.055,42,168,0.9914,3.32,0.43,11.1,6
"1797",7.1,0.37,0.32,1.4,0.037,27,126,0.9918,3.19,0.62,12,5
"3323",5.7,0.26,0.3,1.8,0.039,30,105,0.98995,3.48,0.52,12.5,7
"2191",7.6,0.27,0.42,2.6,0.044,29,110,0.9912,3.31,0.51,12.7,6
"3526",5.3,0.36,0.27,6.3,0.028,40,132,0.99186,3.37,0.4,11.6,6
"1296",7.5,0.23,0.32,9.2,0.038,54,191,0.9966,3.04,0.56,9.7,6
"1643",7.3,0.19,0.49,15.55,0.058,50,134,0.9998,3.42,0.36,9.1,7
"1092",7.2,0.21,0.35,14.5,0.048,35,178,0.9982,3.05,0.47,8.9,6
"3817",6.8,0.41,0.3,8.8,0.045,28,131,0.9953,3.12,0.59,9.9,5
"1688",7.3,0.26,0.33,17.85,0.049,41.5,195,1,3.06,0.44,9.1,7
"1045",7.2,0.21,0.37,1.6,0.049,23,94,0.9924,3.16,0.48,10.9,7
"2780",6.7,0.2,0.37,1.65,0.025,42,103,0.99022,3.11,0.45,11.4,5
